가성콜린에스테르분해효소	Pseudocholinesterase phenotype
트리메틸아민	Trimethylamine
트리암시놀론	Triamcinolone
트리에틸아민	Triethylamine
트리펠렌아민	Tripelennamine
트리프롤리딘	Triprolidine
트리플루랄린	Trifluralin
티오설페이트	Thiosulfate
티오시안산염	Thiocyanate
파동편모충종	Trypanosoma
파라메타디온	Paramethadione
퍼크로레이트	Perchlorate
페노바르비탈	PHENobarbital
페놀프탈레인	Phenolphthalein
펜디메트라진	Phendimetrazine
펜토바르비탈	PENTobarbital
펜프로코쿠몬	Phenprocoumon
포르모노넥틴	Formononetin
포스카르네트	Foscarnet
포스포마이신	Fosfomycin
프레그난디올	Pregnanediol
프레그네놀론	Pregnenolone
프레드니솔론	prednisoLONE
프로베네시드	Probenecid
프로칼시토닌	Procalcitonin
프로프라놀롤	Propranolol
프로피오마진	Propiomazine
프로필렌이민	Propyleneimine
프탈산무수물	Phthalic anhydride
플라스미노겐	Plasminogen
플로르페니콜	Florfenicol
피라진아미드	Pyrazinamide
하이드라스틴	Hydrastine
하이드랄라진	hydrALAZINE
하이드로코돈	HYDROcodone
하이드로키논	Hydroquinone
하이드록시진	hydrOXYzine
한랭글로불린	Cryoglobulin
한랭섬유소원	Cryofibrinogen
한타바이러스	Hantavirus
항히스타민제	Histamine H1 receptor antagonist
헤모필루스종	Haemophilus
헤파리노이드	Heparinoid
헥사클로로펜	Hexachlorophene
헥사포르피린	Hexacarboxylporphyrin
헥소바르비탈	Hexobarbital
헥소키나아제	Hexokinase
헵타포르피린	Heptacarboxylporphyrin
혈장마그네슘	Magnesium
호모바닐린산	Homovanillate
호모시스테인	Homocysteine
호모시트룰린	Homocitrulline
호모카르노신	Homocarnosine
황색포도알균	Staphylococcus aureus
회색곰팡이균	Botrytis cinerea
가금티푸스	Salmonella gallinarum
가로무늬근	Striated muscle
거대핵세포	Megakaryocytes
겐타마이신	Gentamicin
고양이비듬	Cat dander
골수모세포	Myeloblasts
공포호중구	Neutrophils
과립백혈구	Granulocytes
구형적혈구	Spherocytes
그물적혈구	Reticulocytes
근육섬유막	Endomysium
글루타르산	Glutarate
글루타티온	Glutathione
글루탐산염	Glutamate
글리세르산	Glycerate
글리옥실산	Glyoxylate
기타혈색소	Hemoglobin
난형열원충	Plasmodium ovale
난형적혈구	Ovalocytes
난형지방체	Oval fat bodies (globules)
남성호르몬	Testosterone
너도밤나무	Beech Fagus IgE Ab
네오마이신	Neomycin
네오프테린	Neopterin
노르니코틴	Nornicotine
노베라파밀	Norverapamil
노플로삭신	Norfloxacin
누클리오솜	Nucleosome
니케타미드	Nikethamide
니코모르핀	Nicomorphine
니트라제팜	Nitrazepam
니트로페놀	Nitrophenol
단핵모세포	Monoblasts
달걀흰자위	Egg white
답토마이신	DAPTOmycin
대마초제제	Cannabinoids
데시프라민	Desipramine
덱사메타손	Dexamethasone
델라비르딘	Delavirdine
도코사헥산	Docosahexaenoate
독소루비신	DOXOrubicin
동형아메바	Entamoeba dispar
드로페리돌	Droperidol
디메칠벤젠	Dimethylbenzene
디벤조퓨란	Dibenzofuran
디아모르핀	Diamorphine
디에틸황산	Diethylsulfate
디클로페낙	Diclofenac
디플루니살	Diflunisal
디피리다몰	Dipyridamole
라모트리진	lamoTRIgine
라모플라닌	Ramoplanin
람다림프구	Lymphocytes
람블편모충	Giardia lamblia
레보르파놀	Levorphanol
로피나비르	Lopinavir
리네졸리드	Linezolid
리보플라빈	Riboflavin
리스토세틴	Ristocetin
리스페리돈	risperiDONE
리토나비어	Ritonavir
린코마이신	Lincomycin
림프모세포	Lymphoblasts
마이토테인	Mitotane
마페나이드	Mafenide
말이집항체	Myelin
머캡토퓨린	Mercaptopurine
메소리다진	Mesoridazine
메타라미놀	Metaraminol
메토프롤롤	Metoprolol
메토헥시탈	Methohexital
메트알부민	Methemalbumin
메티프릴론	Methyprylon
메펜테르민	Mephentermine
메피바케인	Mepivacaine
무기황산염	Sulfate
미국참나무	Quercus alba
바소프레신	Vasopressin
바시트라신	Bacitracin
바이오테린	Biopterin
바이페리딘	Biperiden
바캄피실린	Bacampicillin
바큇살균종	Actinomyces
반코마이신	Vancomycin
베타메타손	Betamethasone
베타소단위	beta subunit
베타튜불린	Beta tubulin
벤디오카브	Bendiocarb
벤조에이트	Benzoate
벤즈트로핀	Benztropine
벰버마이신	Bambermycins
보렐리아종	Borrelia
복숭아나무	Prunus persica
볼라스테론	Bolasterone
부교차시험	Minor crossmatch
부스파이론	busPIRone
부티레이트	Butyrate
부피바카인	Bupivacaine
분할림프구	Lymphocytes
불소유라실	Fluorouracil
붉은불개미	Solenopsis invicta
브라디키닌	Bradykinin
브로디파쿰	Brodifacoum
브로마제팜	Bromazepam
브롬페리돌	Bromperidol
브롬화에틸	Ethyl bromide
브루셀라종	Brucella
비가바트린	Vigabatrin
비브리오종	Vibrio
비정형단핵	Mononuclear cells
비트로넥틴	Vitronectin
사슬알균종	Streptococcus
사일열원충	Plasmodium malariae
사퀴나비르	Saquinavir
산화혈색소	Oxyhemoglobin
살리실산염	Salicylates
살모넬라종	Salmonella
삼일열원충	Plasmodium vivax
석시닐콜린	Succinylcholine
설피라이드	Sulpiride
설피속사졸	sulfiSOXAZOLE
섬유결합소	Fibronectin
성분채집술	Apheresis
성장호르몬	Somatotropin
세바케이트	Sebacate
세파드록실	Cefadroxil
