chapter	code	kind	preferred	inclusions	exclusions	depth	id
L	LS06	symptom	Jaw symptom or complaint	temporomandibular joint symptom	teeth/gum symptom/complaint DS19;temporomandibular joint disorder DD65	0	416
L	LS07	symptom	Shoulder symptom or complaint			0	417
L	LS08	symptom	Arm symptom or complaint		muscle pain/myalgia LS17	0	418
L	LS09	symptom	Elbow symptom or complaint			0	419
L	LS10	symptom	Wrist symptom or complaint			0	420
L	LS11	symptom	Hand or finger (or both) symptom or complaint	cramp in hands;pain in joint of hand or finger;pain in fingers;pain in hand		0	421
L	LS12	symptom	Hip symptom or complaint			0	422
L	LS13	symptom	Leg or thigh (or both) symptom or complaint	buttock pain;leg cramps;leg weakness	growing pain LS99;muscle pain/myalgia LS17;restless legs NS03	0	423
L	LS14	symptom	Knee symptom or complaint	effusion or swollen knee		0	424
L	LS15	symptom	Ankle symptom or complaint		ankle oedema KS04	0	425
L	LS16	symptom	Foot or toe (or both) symptom or complaint	foot/feet cramp;heel pain		0	426
L	LS17	symptom	Muscle pain	abdominal wall pain;myalgia;rheumatism	pain in neck LS01;pain in back LS02;pain in lower back LS03;leg cramps LS13	0	427
L	LS18	symptom	Chronic widespread pain	fibromyositis		0	428
L	LS19	symptom	Muscle symptom or complaint	atrophy of muscle;muscle stiffness;muscle strain;wasting of muscle;weakness of muscle	'growing pains' in child LS99;leg cramps LS13;muscle pain LS17;pain in neck LS01;pain in back LS02;pain in lower back LS03;restless legs NS03	0	429
L	LS20	symptom	Other specified joint symptoms or complaints	arthralgia;effusion of other specified joint;multiple joint symptoms or complaints;pain in joint;stiffness in joint;swelling of joint;weakness in joint	ankle symptom/complaint LS15;elbow symptom/complaint LS09;foot/toe symptom/complaint LS16;hand/finger symptom/complaint LS11;hip symptom/complaint LS12;jaw symptom/complaint LS06;knee symptom/complaint LS14;shoulder symptom/complaint LS07;wrist symptom/complaint LS10	0	430
L	LS90	complaint	Concern or fear of disease of musculoskeletal system			0	431
L	LS99	symptom	Other specified symptoms, complaints and abnormal findings of musculoskeletal system	abnormal posture;'growing pains' in a child	clubbing of fingernails SS09	0	432
L	LS18.00	symptom	Primary fibromyalgia syndrome	fibromyalgia		1	1136
L	LS16.00	symptom	Metatarsalgia			1	1135
N	NS01	symptom	Headache	post-traumatic headache	atypical facial neuralgia ND99;cervicogenic headache LD65;cluster headache ND72;face pain NS02;migraine ND71;post-herpetic pain SD03;sinus pain RS11;tension headache ND73	0	465
N	NS02	symptom	Pain, face		headache NS01;migraine ND71;post herpetic pain SD03;sinus pain RS11;toothache DS19;trigeminal neuralgia ND74	0	466
N	NS03	symptom	Restless legs	Sleep-related leg cramps	adverse effect medical agent AD40;intermittent claudication KD76;leg cramps LS13	0	467
N	NS04	symptom	Tingling fingers, feet, toes	paraesthesia;prickly feeling fingers;prickly feeling feet;prickly feeling toes	pain or tenderness of skin SS01	0	468
N	NS05	symptom	Sensation disturbances	anaesthesia;burning sensation;numbness	pain/tenderness of skin SS01;tingling fingers/feet/toes NS04	0	469
N	NS06	symptom	Convulsion or seizure	fit	fainting AS07;transient ischaemic attack ND68	0	470
N	NS07	symptom	Abnormal involuntary movements	dystonic movements;jerking;myoclonus;shaking;tetany;tremor;twitching	chorea KD02;convulsion NS06;cramps/spasm jaw LS06;cramps/spasm arm LS08;cramps/spasm hand/finger LS11;cramps/spasm leg/thigh LS13;cramps/spasm foot/toe LS16;cramps/spasm muscle LS17;dystonic disorder ND99;organic tic ND99;psychogenic tic ND99;restless legs NS03;tic douloureux ND74	0	471
N	NS08	symptom	Disturbance of smell, taste or both	anosmia	halitosis DS20	0	472
N	NS09	symptom	Vertigo or dizziness	giddiness;loss of balance;woozy	motion sickness AD45.02;specific vertiginous syndrome HD67;syncope or blackout AS07	0	473
N	NS10	symptom	Paralysis and weakness	palsy;paralysis;paralytic symptoms;paresis	general weakness AS04	0	474
N	NS11	symptom	Speech problem	aphasia;dysarthria;dysphasia;slurred speech	hoarseness RS13;speech delay PS18	0	475
N	NS90	complaint	Concern or fear of neurological disease			0	476
N	NS99	symptom	Other specified symptoms, complaints and abnormal findings of neurological system	ataxia;gait abnormality;gait pattern problem;limping;meningism;transient global amnesia;walking problem		0	477
N	NS11.00	symptom	Stammering	Speech dysfluency is characterised by the frequent or pervasive disruption of the rhythmic flow of speech that arises subsequent to the developmental period (i.e., adult onset) and is outside the limits of normal variation and results in reduced intelligibility and significantly affects communication. It can involve repetitions of sounds, syllables or words, prolongations, word breaks, blockage of production, excessive use of interjections, and rapid short bursts of speech.		1	1208
N	NS09.00	symptom	Lightheaded			1	1206
N	NS09.01	symptom	Rotatory vertigo			1	1207
N	NS06.00	symptom	Febrile seizures			1	1205
P	PS01	symptom	Feeling anxious or nervous or tense	anxiety NOS;feeling frightened	anxiety disorder PD06	0	501
P	PS02	symptom	Acute stress reaction	acute adjustment problem;culture shock;feeling grief;feeling homesick;feeling stressed;immediate post-traumatic stress;shock (psychic)	depressive disorder PD12;feeling depressed PS03;post-traumatic stress disorder PD09	0	502
P	PS03	symptom	Feeling sad	feeling inadequate;unhappy	depressive disorder PD12;low self-esteem PS99	0	503
P	PS04	symptom	Feeling or being irritable or angry	agitation NOS;restlessness NOS	adolescent behaviour symptom/complaint PS19;child behaviour symptom/complaint PS18;irritability in partner ZC30;overactive child PS18	0	504
P	PS05	symptom	Suicidal ideation		suicide attempt PD14	0	505
P	PS06	symptom	Sleep disturbance	insomnia;nightmares;sleepwalking	jet lag AD45;sleep apnoea RS06;somnolence AS99	0	506
P	PS07	symptom	Sexual desire and fulfilment problem	frigidity;loss of libido;non-organic impotence or dyspareunia	concern with sexual preference PS08;organic impotence/sexual problems GS24;organic vaginismus GS23	0	507
P	PS08	symptom	Gender incongruence problem			0	508
P	PS09	symptom	Eating problem in child	feeding problem;food refusal	anorexia nervosa PD17;bulemia PD17;eating problem of infant/child TS04	0	509
P	PS10	symptom	Bedwetting or enuresis		bedwetting due to organic disorder US03	0	510
P	PS11	symptom	Encopresis			0	511
P	PS12	symptom	Chronic alcohol problem			0	512
P	PS13	symptom	Acute alcohol intoxication	drunk		0	513
P	PS14	symptom	Tobacco smoking problem	smoking problem		0	514
P	PS15	symptom	Medication abuse			0	515
P	PS16	symptom	Drug abuse	addiction to drug;drug withdrawal		0	516
P	PS17	symptom	Memory or attention problem	amnesia;disorientation;disturbance of concentration		0	517
P	PS18	symptom	Child behaviour symptom or complaint	delayed milestones;jealousy of child;overactive child;speech delay;temper tantrum	behaviour symptom/complaint adolescent PS19;behaviour symptom/complaint adult PD15;concern about physical development/growth delay TS08	0	518
P	PS19	symptom	Adolescent behaviour symptom or complaint	delinquency	behaviour symptom/complaint child PS18	0	519
P	PS20	symptom	Specific learning problems		attention deficit disorder PD16;disorders of intellectual development PD18	0	520
P	PS21	symptom	Own illness problem	problems related to adherence to medical advice		0	521
P	PS22	symptom	Phase of life problem			0	522
P	PS90	complaint	Concern, fear of mental disorder or problem	concern about mental disease;fear of committing suicide		0	523
P	PS99	symptom	Other specified psychological/mental symptom/complaint/abnormal finding	delusions;eating disorders NOS;hallucinations;hyperactivity;multiple psychological symptoms/complaints;poor hygiene;strange behaviour;suspiciousness		0	524
P	PS22.00	symptom	Empty-nest problem			1	1256
P	PS22.01	symptom	Retirement problem			1	1257
P	PS21.00	symptom	Dependence on others			1	1255
P	PS20.00	symptom	Developmental disorder of motor function			1	1251
P	PS20.01	symptom	Developmental language disorder			1	1252
P	PS20.02	symptom	Developmental speech disorder			1	1253
P	PS20.03	symptom	Dyslexia	acalculia;alexia;symbolic dysfunctions		1	1254
P	PS16.00	symptom	Abuse or addiction hard drugs			1	1249
P	PS16.01	symptom	Abuse/addiction soft drugs			1	1250
P	PS12.00	symptom	Alcohol dependence	alcohol brain syndrome		1	1244
P	PS12.01	symptom	Alcohol withdrawal delirium			1	1245
P	PS12.02	symptom	Alcoholism			1	1246
P	PS12.03	symptom	Binge drinker			1	1247
P	PS12.04	symptom	Korsakoff's psychosis	amnestic syndrome due to alcohol		1	1248
P	PS07.00	symptom	Premature ejaculation			1	1241
P	PS07.01	symptom	Primary erectile dysfunction			1	1242
P	PS07.02	symptom	Vaginismus of psychogenic origin			1	1243
R	RS01	symptom	Pain respiratory system	painful respiration;pleuritic pain;pleurodynia	chest pain AS12;musculoskeletal chest pain LS04;nose pain RS10;sinus pain RS11;sore throat RS12;chest tightness RS99;pleurisy RS50	0	545
